year,value,country,country_code,indicator
2024,392614111879.249,Brazil,BR,NE.EXP.GNFS.CD
2023,393731572887.926,Brazil,BR,NE.EXP.GNFS.CD
2022,383177602116.201,Brazil,BR,NE.EXP.GNFS.CD
2021,319251201403.084,Brazil,BR,NE.EXP.GNFS.CD
2020,242872071018.291,Brazil,BR,NE.EXP.GNFS.CD
2019,264562979421.068,Brazil,BR,NE.EXP.GNFS.CD
2018,280543266303.121,Brazil,BR,NE.EXP.GNFS.CD
2017,258330777006.501,Brazil,BR,NE.EXP.GNFS.CD
2016,223863343103.297,Brazil,BR,NE.EXP.GNFS.CD
2015,232488824444.589,Brazil,BR,NE.EXP.GNFS.CD
2014,270458130850.098,Brazil,BR,NE.EXP.GNFS.CD
2013,290364173324.942,Brazil,BR,NE.EXP.GNFS.CD
2012,292808395453.514,Brazil,BR,NE.EXP.GNFS.CD
2011,303016626325.823,Brazil,BR,NE.EXP.GNFS.CD
2010,240003137741.747,Brazil,BR,NE.EXP.GNFS.CD
2009,180891970353.521,Brazil,BR,NE.EXP.GNFS.CD
2008,229517035697.556,Brazil,BR,NE.EXP.GNFS.CD
2007,186202879575.236,Brazil,BR,NE.EXP.GNFS.CD
2006,159213742531.583,Brazil,BR,NE.EXP.GNFS.CD
2005,135919140236.363,Brazil,BR,NE.EXP.GNFS.CD
2004,110739032053.055,Brazil,BR,NE.EXP.GNFS.CD
2003,84744257516.308,Brazil,BR,NE.EXP.GNFS.CD
2002,72546876638.2809,Brazil,BR,NE.EXP.GNFS.CD
2001,69279555096.2874,Brazil,BR,NE.EXP.GNFS.CD
2000,66777380518.3383,Brazil,BR,NE.EXP.GNFS.CD
1999,57355149556.2405,Brazil,BR,NE.EXP.GNFS.CD
1998,60723187855.068,Brazil,BR,NE.EXP.GNFS.CD
1997,61680024619.8487,Brazil,BR,NE.EXP.GNFS.CD
1996,57235482141.0805,Brazil,BR,NE.EXP.GNFS.CD
1995,57922124038.4584,Brazil,BR,NE.EXP.GNFS.CD
1994,49978798948.0716,Brazil,BR,NE.EXP.GNFS.CD
1993,38682712856.2845,Brazil,BR,NE.EXP.GNFS.CD
1992,35668919610.8551,Brazil,BR,NE.EXP.GNFS.CD
1991,29723863636.3636,Brazil,BR,NE.EXP.GNFS.CD
1990,31556066666.6667,Brazil,BR,NE.EXP.GNFS.CD
1989,36878468232.3992,Brazil,BR,NE.EXP.GNFS.CD
1988,35921688764.4272,Brazil,BR,NE.EXP.GNFS.CD
1987,27820190341.2553,Brazil,BR,NE.EXP.GNFS.CD
1986,23640555933.3822,Brazil,BR,NE.EXP.GNFS.CD
1985,27305943480.8901,Brazil,BR,NE.EXP.GNFS.CD
1984,28317692073.148,Brazil,BR,NE.EXP.GNFS.CD
1983,23221079048.8769,Brazil,BR,NE.EXP.GNFS.CD
1982,21435129573.2899,Brazil,BR,NE.EXP.GNFS.CD
1981,24828388398.9376,Brazil,BR,NE.EXP.GNFS.CD
1980,21276141967.6084,Brazil,BR,NE.EXP.GNFS.CD
1979,16026612550.3001,Brazil,BR,NE.EXP.GNFS.CD
1978,13404621904.9098,Brazil,BR,NE.EXP.GNFS.CD
1977,12776590678.7557,Brazil,BR,NE.EXP.GNFS.CD
1976,10741988183.0392,Brazil,BR,NE.EXP.GNFS.CD
1975,9325921437.05926,Brazil,BR,NE.EXP.GNFS.CD
1974,8424673828.03794,Brazil,BR,NE.EXP.GNFS.CD
1973,6557708237.89377,Brazil,BR,NE.EXP.GNFS.CD
1972,4249449495.7691,Brazil,BR,NE.EXP.GNFS.CD
1971,3155632739.4951,Brazil,BR,NE.EXP.GNFS.CD
1970,2975391707.00149,Brazil,BR,NE.EXP.GNFS.CD
1969,2479930321.58748,Brazil,BR,NE.EXP.GNFS.CD
1968,2032731102.64928,Brazil,BR,NE.EXP.GNFS.CD
1967,1764834054.99797,Brazil,BR,NE.EXP.GNFS.CD
1966,1846958711.61305,Brazil,BR,NE.EXP.GNFS.CD
1965,1685625122.1861,Brazil,BR,NE.EXP.GNFS.CD
1964,1354466134.88626,Brazil,BR,NE.EXP.GNFS.CD
1963,2080325261.99351,Brazil,BR,NE.EXP.GNFS.CD
1962,770900519.674771,Brazil,BR,NE.EXP.GNFS.CD
1961,1109152823.34559,Brazil,BR,NE.EXP.GNFS.CD
1960,1069822093.95372,Brazil,BR,NE.EXP.GNFS.CD
2024,476430904566.737,Russia,RU,NE.EXP.GNFS.CD
2023,465937815839.194,Russia,RU,NE.EXP.GNFS.CD
2022,635241831700.755,Russia,RU,NE.EXP.GNFS.CD
2021,548800273711.107,Russia,RU,NE.EXP.GNFS.CD
2020,381065599584.428,Russia,RU,NE.EXP.GNFS.CD
2019,481410680627.341,Russia,RU,NE.EXP.GNFS.CD
2018,510345505266.608,Russia,RU,NE.EXP.GNFS.CD
