year,value,country,country_code,indicator
2024,2179412080828.59,Brazil,BR,NY.GDP.MKTP.CD
2023,2191131765684.63,Brazil,BR,NY.GDP.MKTP.CD
2022,1951923942083.32,Brazil,BR,NY.GDP.MKTP.CD
2021,1670647398904.9,Brazil,BR,NY.GDP.MKTP.CD
2020,1476107231310.49,Brazil,BR,NY.GDP.MKTP.CD
2019,1873288205059.69,Brazil,BR,NY.GDP.MKTP.CD
2018,1916933898010.99,Brazil,BR,NY.GDP.MKTP.CD
2017,2063514977365.65,Brazil,BR,NY.GDP.MKTP.CD
2016,1795693482853.01,Brazil,BR,NY.GDP.MKTP.CD
2015,1802212206814.5,Brazil,BR,NY.GDP.MKTP.CD
2014,2456043727198.85,Brazil,BR,NY.GDP.MKTP.CD
2013,2472819535557.21,Brazil,BR,NY.GDP.MKTP.CD
2012,2465227802806.76,Brazil,BR,NY.GDP.MKTP.CD
2011,2616156223917.69,Brazil,BR,NY.GDP.MKTP.CD
2010,2208837745100.55,Brazil,BR,NY.GDP.MKTP.CD
2009,1666996438581.43,Brazil,BR,NY.GDP.MKTP.CD
2008,1695855083497.52,Brazil,BR,NY.GDP.MKTP.CD
2007,1397114486368.67,Brazil,BR,NY.GDP.MKTP.CD
2006,1107626541434.92,Brazil,BR,NY.GDP.MKTP.CD
2005,891633839894.183,Brazil,BR,NY.GDP.MKTP.CD
2004,669289424806.307,Brazil,BR,NY.GDP.MKTP.CD
2003,558233745651.874,Brazil,BR,NY.GDP.MKTP.CD
2002,509795273806.715,Brazil,BR,NY.GDP.MKTP.CD
2001,559983634798.981,Brazil,BR,NY.GDP.MKTP.CD
2000,655448231983.527,Brazil,BR,NY.GDP.MKTP.CD
1999,599642024319.531,Brazil,BR,NY.GDP.MKTP.CD
1998,863710759256.435,Brazil,BR,NY.GDP.MKTP.CD
1997,883206179730.462,Brazil,BR,NY.GDP.MKTP.CD
1996,850426432991.742,Brazil,BR,NY.GDP.MKTP.CD
1995,769333050986.905,Brazil,BR,NY.GDP.MKTP.CD
1994,525369467295.737,Brazil,BR,NY.GDP.MKTP.CD
1993,368292034380.96,Brazil,BR,NY.GDP.MKTP.CD
1992,328191909882.232,Brazil,BR,NY.GDP.MKTP.CD
1991,342534090909.091,Brazil,BR,NY.GDP.MKTP.CD
1990,384959818181.817,Brazil,BR,NY.GDP.MKTP.CD
1989,412990820287.42,Brazil,BR,NY.GDP.MKTP.CD
1988,307881930752.268,Brazil,BR,NY.GDP.MKTP.CD
1987,283056836893.838,Brazil,BR,NY.GDP.MKTP.CD
1986,256480852471.129,Brazil,BR,NY.GDP.MKTP.CD
1985,210879844638.877,Brazil,BR,NY.GDP.MKTP.CD
1984,188339974086.58,Brazil,BR,NY.GDP.MKTP.CD
1983,189656506321.431,Brazil,BR,NY.GDP.MKTP.CD
1982,271314113768.417,Brazil,BR,NY.GDP.MKTP.CD
1981,258015174748.648,Brazil,BR,NY.GDP.MKTP.CD
1980,237393489892.637,Brazil,BR,NY.GDP.MKTP.CD
1979,221338204480.222,Brazil,BR,NY.GDP.MKTP.CD
1978,200278646123.581,Brazil,BR,NY.GDP.MKTP.CD
1977,176344101401.941,Brazil,BR,NY.GDP.MKTP.CD
1976,153168949208.207,Brazil,BR,NY.GDP.MKTP.CD
1975,129203555238.827,Brazil,BR,NY.GDP.MKTP.CD
1974,109794519727.538,Brazil,BR,NY.GDP.MKTP.CD
1973,83592275862.9982,Brazil,BR,NY.GDP.MKTP.CD
1972,58434858374.8696,Brazil,BR,NY.GDP.MKTP.CD
1971,48869830901.7878,Brazil,BR,NY.GDP.MKTP.CD
1970,42327664793.6934,Brazil,BR,NY.GDP.MKTP.CD
1969,37171640818.5863,Brazil,BR,NY.GDP.MKTP.CD
1968,33930457425.2613,Brazil,BR,NY.GDP.MKTP.CD
1967,31086389194.961,Brazil,BR,NY.GDP.MKTP.CD
1966,28283323733.1114,Brazil,BR,NY.GDP.MKTP.CD
1965,22465522884.0988,Brazil,BR,NY.GDP.MKTP.CD
1964,20963733694.9749,Brazil,BR,NY.GDP.MKTP.CD
1963,23287712878.2002,Brazil,BR,NY.GDP.MKTP.CD
1962,19231747851.5332,Brazil,BR,NY.GDP.MKTP.CD
1961,17275940449.3837,Brazil,BR,NY.GDP.MKTP.CD
1960,17030465539.3906,Brazil,BR,NY.GDP.MKTP.CD
2024,2173835806671.66,Russia,RU,NY.GDP.MKTP.CD
2023,2071505725030.58,Russia,RU,NY.GDP.MKTP.CD
2022,2291612121334.64,Russia,RU,NY.GDP.MKTP.CD
2021,1829186719575.1,Russia,RU,NY.GDP.MKTP.CD
2020,1493075894362.14,Russia,RU,NY.GDP.MKTP.CD
2019,1693115002708.32,Russia,RU,NY.GDP.MKTP.CD
2018,1657328773461.31,Russia,RU,NY.GDP.MKTP.CD
2017,1574199360089.0,Russia,RU,NY.GDP.MKTP.CD
2016,1276786350881.14,Russia,RU,NY.GDP.MKTP.CD
2015,1363482182197.71,Russia,RU,NY.GDP.MKTP.CD
