year,value,country,country_code,indicator
2024,3.39586645454844,Brazil,BR,NY.GDP.MKTP.KD.ZG
2023,3.24165532906981,Brazil,BR,NY.GDP.MKTP.KD.ZG
2022,3.01669435393015,Brazil,BR,NY.GDP.MKTP.KD.ZG
2021,4.76260437908608,Brazil,BR,NY.GDP.MKTP.KD.ZG
2020,-3.2767587964736,Brazil,BR,NY.GDP.MKTP.KD.ZG
2019,1.22077782360842,Brazil,BR,NY.GDP.MKTP.KD.ZG
2018,1.783666761634,Brazil,BR,NY.GDP.MKTP.KD.ZG
2017,1.32286905404399,Brazil,BR,NY.GDP.MKTP.KD.ZG
2016,-3.27591690782192,Brazil,BR,NY.GDP.MKTP.KD.ZG
2015,-3.54576339269425,Brazil,BR,NY.GDP.MKTP.KD.ZG
2014,0.503955740242247,Brazil,BR,NY.GDP.MKTP.KD.ZG
2013,3.00482266944432,Brazil,BR,NY.GDP.MKTP.KD.ZG
2012,1.92117598576537,Brazil,BR,NY.GDP.MKTP.KD.ZG
2011,3.97442307944702,Brazil,BR,NY.GDP.MKTP.KD.ZG
2010,7.52822581815364,Brazil,BR,NY.GDP.MKTP.KD.ZG
2009,-0.125812002161169,Brazil,BR,NY.GDP.MKTP.KD.ZG
2008,5.09419544658736,Brazil,BR,NY.GDP.MKTP.KD.ZG
2007,6.06987060678338,Brazil,BR,NY.GDP.MKTP.KD.ZG
2006,3.96198871122617,Brazil,BR,NY.GDP.MKTP.KD.ZG
2005,3.20213206130431,Brazil,BR,NY.GDP.MKTP.KD.ZG
2004,5.75996463670954,Brazil,BR,NY.GDP.MKTP.KD.ZG
2003,1.14082899824888,Brazil,BR,NY.GDP.MKTP.KD.ZG
2002,3.05346185909312,Brazil,BR,NY.GDP.MKTP.KD.ZG
2001,1.38989640095637,Brazil,BR,NY.GDP.MKTP.KD.ZG
2000,4.38794944745618,Brazil,BR,NY.GDP.MKTP.KD.ZG
1999,0.467937566477133,Brazil,BR,NY.GDP.MKTP.KD.ZG
1998,0.338097901207306,Brazil,BR,NY.GDP.MKTP.KD.ZG
1997,3.39484598630671,Brazil,BR,NY.GDP.MKTP.KD.ZG
1996,2.20886405039022,Brazil,BR,NY.GDP.MKTP.KD.ZG
1995,4.22379363350413,Brazil,BR,NY.GDP.MKTP.KD.ZG
1994,5.85287036219013,Brazil,BR,NY.GDP.MKTP.KD.ZG
1993,4.9246900037071,Brazil,BR,NY.GDP.MKTP.KD.ZG
1992,-0.54407204977727,Brazil,BR,NY.GDP.MKTP.KD.ZG
1991,1.03218958549303,Brazil,BR,NY.GDP.MKTP.KD.ZG
1990,-4.35000000000022,Brazil,BR,NY.GDP.MKTP.KD.ZG
1989,3.16000000000032,Brazil,BR,NY.GDP.MKTP.KD.ZG
1988,-0.059999999999917,Brazil,BR,NY.GDP.MKTP.KD.ZG
1987,3.52999999999983,Brazil,BR,NY.GDP.MKTP.KD.ZG
1986,7.48999999999982,Brazil,BR,NY.GDP.MKTP.KD.ZG
1985,7.85000000000042,Brazil,BR,NY.GDP.MKTP.KD.ZG
1984,5.39999999999988,Brazil,BR,NY.GDP.MKTP.KD.ZG
1983,-2.92999999999996,Brazil,BR,NY.GDP.MKTP.KD.ZG
1982,0.829999999999529,Brazil,BR,NY.GDP.MKTP.KD.ZG
1981,-4.24999999999956,Brazil,BR,NY.GDP.MKTP.KD.ZG
1980,9.19999999999976,Brazil,BR,NY.GDP.MKTP.KD.ZG
1979,6.7595601220408,Brazil,BR,NY.GDP.MKTP.KD.ZG
1978,4.96989768924738,Brazil,BR,NY.GDP.MKTP.KD.ZG
1977,4.93432806978961,Brazil,BR,NY.GDP.MKTP.KD.ZG
1976,10.2571295347867,Brazil,BR,NY.GDP.MKTP.KD.ZG
