year,value,country,country_code,indicator
2024,329732443813.378,Brazil,BR,FI.RES.TOTL.CD
2023,355021395541.562,Brazil,BR,FI.RES.TOTL.CD
2022,324673449781.4,Brazil,BR,FI.RES.TOTL.CD
2021,362210079181.317,Brazil,BR,FI.RES.TOTL.CD
2020,355614251456.14,Brazil,BR,FI.RES.TOTL.CD
2019,356886386911.979,Brazil,BR,FI.RES.TOTL.CD
2018,374709673447.828,Brazil,BR,FI.RES.TOTL.CD
2017,373955518686.487,Brazil,BR,FI.RES.TOTL.CD
2016,364984039092.456,Brazil,BR,FI.RES.TOTL.CD
2015,356464980327.488,Brazil,BR,FI.RES.TOTL.CD
2014,363570226084.661,Brazil,BR,FI.RES.TOTL.CD
2013,358816422466.118,Brazil,BR,FI.RES.TOTL.CD
2012,373160977539.732,Brazil,BR,FI.RES.TOTL.CD
2011,352010222755.829,Brazil,BR,FI.RES.TOTL.CD
2010,288574623536.622,Brazil,BR,FI.RES.TOTL.CD
2009,238539464848.441,Brazil,BR,FI.RES.TOTL.CD
2008,193783363540.649,Brazil,BR,FI.RES.TOTL.CD
2007,180333622535.832,Brazil,BR,FI.RES.TOTL.CD
2006,85842861115.1295,Brazil,BR,FI.RES.TOTL.CD
2005,53799284976.6775,Brazil,BR,FI.RES.TOTL.CD
2004,52934865185.6722,Brazil,BR,FI.RES.TOTL.CD
2003,49297286966.3089,Brazil,BR,FI.RES.TOTL.CD
2002,37832146718.419,Brazil,BR,FI.RES.TOTL.CD
2001,35866445530.2453,Brazil,BR,FI.RES.TOTL.CD
2000,33015297295.6899,Brazil,BR,FI.RES.TOTL.CD
1999,36342324443.4703,Brazil,BR,FI.RES.TOTL.CD
1998,44487193726.0979,Brazil,BR,FI.RES.TOTL.CD
1997,52208520617.4322,Brazil,BR,FI.RES.TOTL.CD
1996,60152476087.583,Brazil,BR,FI.RES.TOTL.CD
1995,51842389630.8018,Brazil,BR,FI.RES.TOTL.CD
1994,38810777748.0861,Brazil,BR,FI.RES.TOTL.CD
1993,32247610989.3312,Brazil,BR,FI.RES.TOTL.CD
1992,23750647504.125,Brazil,BR,FI.RES.TOTL.CD
1991,9391631540.11072,Brazil,BR,FI.RES.TOTL.CD
1990,9997591007.59699,Brazil,BR,FI.RES.TOTL.CD
1989,9678276000.0,Brazil,BR,FI.RES.TOTL.CD
1988,9114472122.65344,Brazil,BR,FI.RES.TOTL.CD
