year,value,country,country_code,indicator
2024,35.5312202442457,Brazil,BR,NE.TRD.GNFS.ZS
2023,33.6662298301438,Brazil,BR,NE.TRD.GNFS.ZS
2022,38.8160659763397,Brazil,BR,NE.TRD.GNFS.ZS
2021,37.6563307598082,Brazil,BR,NE.TRD.GNFS.ZS
2020,32.3020785437939,Brazil,BR,NE.TRD.GNFS.ZS
2019,28.8902578698964,Brazil,BR,NE.TRD.GNFS.ZS
2018,28.8762033763866,Brazil,BR,NE.TRD.GNFS.ZS
2017,24.3197343743057,Brazil,BR,NE.TRD.GNFS.ZS
2016,24.5336820777006,Brazil,BR,NE.TRD.GNFS.ZS
2015,26.95362593736,Brazil,BR,NE.TRD.GNFS.ZS
2014,24.6854058131291,Brazil,BR,NE.TRD.GNFS.ZS
2013,25.7859573274674,Brazil,BR,NE.TRD.GNFS.ZS
2012,25.1142736107398,Brazil,BR,NE.TRD.GNFS.ZS
2011,23.9344051758721,Brazil,BR,NE.TRD.GNFS.ZS
2010,22.772178113177,Brazil,BR,NE.TRD.GNFS.ZS
2009,22.1059756060333,Brazil,BR,NE.TRD.GNFS.ZS
2008,27.257569417356,Brazil,BR,NE.TRD.GNFS.ZS
2007,25.2926113755394,Brazil,BR,NE.TRD.GNFS.ZS
2006,26.04169989179,Brazil,BR,NE.TRD.GNFS.ZS
2005,27.0867952043315,Brazil,BR,NE.TRD.GNFS.ZS
2004,29.6782524787535,Brazil,BR,NE.TRD.GNFS.ZS
2003,28.1403847231593,Brazil,BR,NE.TRD.GNFS.ZS
2002,27.6183574022309,Brazil,BR,NE.TRD.GNFS.ZS
2001,26.936285022064,Brazil,BR,NE.TRD.GNFS.ZS
2000,22.6397613567941,Brazil,BR,NE.TRD.GNFS.ZS
1999,20.9821664782285,Brazil,BR,NE.TRD.GNFS.ZS
1998,16.4385849312059,Brazil,BR,NE.TRD.GNFS.ZS
1997,16.5762092613247,Brazil,BR,NE.TRD.GNFS.ZS
1996,15.6355914758682,Brazil,BR,NE.TRD.GNFS.ZS
